symbol,name,weight,shares_held,market_value
TPL,Texas Pacific Land Corp,0.05%,20800.0,27000000.0
RVTY,Revvity Inc,0.05%,140800.0,27000000.0
POOL,Pool Corp,0.05%,44600.0,27000000.0
NDSN,Nordson Corp,0.05%,61400.0,27000000.0
OKTA,Okta Inc Class A,0.05%,181600.0,27000000.0
NBIX,Neurocrine Biosciences Inc,0.05%,114700.0,27000000.0
ZM,Zoom Video Communications Inc,0.05%,292200.0,27000000.0
RNR,RenaissanceRe Holdings Ltd,0.04%,60000.0,27000000.0
REXR,Rexford Industrial Realty Inc,0.04%,246500.0,27000000.0
RIVN,Rivian Automotive Inc Class A,0.04%,793200.0,27000000.0
HOOD,Robinhood Markets Inc Class A,0.04%,588500.0,27000000.0
PFGC,Performance Food Group Co,0.04%,176800.0,27000000.0
QRVO,Qorvo Inc,0.04%,113500.0,27000000.0
TTEK,Tetra Tech Inc,0.04%,60100.0,27000000.0
TOST,Toast Inc Class A,0.04%,453500.0,27000000.0
BLD,TopBuild Corp,0.04%,35500.0,13500000.0
TW,Tradeweb Markets Inc,0.04%,130600.0,13500000.0
SAIA,Saia Inc,0.04%,29700.0,13500000.0
CTLT,Catalent Inc,0.04%,205700.0,13500000.0
CACI,CACI International Inc Class A,0.04%,25400.0,13500000.0
CRL,Charles River Laboratories International...,0.04%,57700.0,13500000.0
CHDN,Churchill Downs Inc,0.04%,76700.0,13500000.0
CLH,Clean Harbors Inc,0.04%,56600.0,13500000.0
TECH,Bio-Techne Corp,0.04%,175500.0,13500000.0
--,TechnipFMC PLC,0.04%,492800.0,13500000.0
ALB,Albemarle Corp,0.04%,131300.0,13500000.0
EPAM,EPAM Systems Inc,0.04%,64900.00000000001,13500000.0
DT,Dynatrace Inc Ordinary Shares,0.04%,272000.0,13500000.0
DOCU,DocuSign Inc,0.04%,231700.0,13500000.0
FND,Floor & Decor Holdings Inc Class A,0.04%,122800.0,13500000.0
HII,Huntington Ingalls Industries Inc,0.04%,44600.0,13500000.0
INCY,Incyte Corp,0.04%,207800.0,13500000.0
KNSL,Kinsale Capital Group Inc,0.03%,24500.0,13500000.0
LBRDK,Liberty Broadband Corp Registered Shs Se...,0.03%,148900.0,13500000.0
LAD,Lithia Motors Inc Class A,0.03%,31200.0,13500000.0
MKTX,MarketAxess Holdings Inc,0.03%,43200.0,13500000.0
MEDP,Medpace Holdings Inc,0.03%,26500.0,13500000.0
GNRC,Generac Holdings Inc,0.03%,68900.0,13500000.0
ETSY,Etsy Inc,0.03%,136700.0,13500000.0
EXAS,Exact Sciences Corp,0.03%,204400.0,13500000.0
CLF,Cleveland-Cliffs Inc,0.03%,539500.0,13500000.0
CHE,Chemed Corp,0.03%,17200.0,13500000.0
DAY,Dayforce Inc,0.03%,175200.0,13500000.0
CZR,Caesars Entertainment Inc,0.03%,239000.0,13500000.0
CELH,Celsius Holdings Inc,0.03%,169800.0,13500000.0
ROKU,Roku Inc Class A,0.03%,144000.0,13500000.0
RRC,Range Resources Corp,0.03%,272100.0,13500000.0
SOLV,Solventum Corp,0.03%,156200.0,13500000.0
TFX,Teleflex Inc,0.03%,52900.0,13500000.0
TREX,Trex Co Inc,0.03%,123200.0,13500000.0
TWLO,Twilio Inc Class A,0.03%,195200.0,13500000.0
NOV,NOV Inc,0.03%,435900.0,13500000.0
PAYC,Paycom Software Inc,0.03%,54900.0,13500000.0
WCC,WESCO International Inc,0.03%,49300.0,13500000.0
ESTC,Elastic NV,0.03%,92500.0,13500000.0
WEX,WEX Inc,0.03%,47000.0,13500000.0
WSC,WillScot Mobile Mini Holdings Corp,0.03%,211800.0,13500000.0
OLED,Universal Display Corp,0.03%,49600.0,13500000.0
U,Unity Software Inc Ordinary Shares,0.02%,282400.0,13500000.0
WLK,Westlake Corp,0.02%,38300.0,13500000.0
W,Wayfair Inc Class A,0.02%,108600.0,13500000.0
JAZZ,Jazz Pharmaceuticals PLC,0.02%,70700.0,13500000.0
PCTY,Paylocity Holding Corp,0.02%,48800.0,13500000.0
PEN,Penumbra Inc,0.02%,43200.0,13500000.0
PCOR,Procore Technologies Inc,0.02%,101000.0,13500000.0
RGEN,Repligen Corp,0.02%,58700.0,13500000.0
PATH,UiPath Inc Class A,0.02%,459000.0,13500000.0
BILL,BILL Holdings Inc Ordinary Shares,0.02%,108100.0,13500000.0
BIO,Bio-Rad Laboratories Inc Class A,0.02%,23200.0,13500000.0
FIVE,Five Below Inc,0.02%,61000.0,13500000.0
MASI,Masimo Corp,0.02%,49200.0,13500000.0
FIVN,Five9 Inc,0.01%,82100.0,13500000.0
AGL,Agilon Health Inc,0.01%,356200.0,13500000.0
--,Us Dollar,0.01%,2700000.0,13500000.0
--,Future on E-mini S&P 500 Futures,0.01%,500.0,13500000.0
CACC,Credit Acceptance Corp,0.01%,6800.0,3400000.0
SEDG,SolarEdge Technologies Inc,0.01%,65600.0,3400000.0
RCM,R1 RCM Inc,0.01%,221800.0,3400000.0
RH,RH Class A,0.01%,16600.0,3400000.0
PLUG,Plug Power Inc,0.01%,744800.0,3400000.0
ZI,ZoomInfo Technologies Inc,0.01%,341600.0,3400000.0
ROIV,Roivant Sciences Ltd Ordinary Shares,0.01%,365900.0,3400000.0
NFE,New Fortress Energy Inc Class A,0.00%,67400.0,3400000.0
UI,Ubiquiti Inc,0.00%,4700.0,3400000.0
ALAB,Astera Labs Inc,0.00%,23100.0,3400000.0
GRAL,GRAIL Inc,0.00%,30000.0,3400000.0
